subgraph1,subgraph2,subgraph3,subgraph4,subgraph6,subgraph8,subgraph9,subgraph10
NA,NA,86,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,88,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,89,NA
NA,NA,NA,NA,NA,NA,90,NA
NA,NA,NA,NA,NA,91,NA,NA
NA,NA,NA,NA,NA,NA,NA,92
NA,NA,93,NA,NA,NA,NA,NA
NA,94,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,NA,NA,NA,NA
NA,NA,96,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,98,NA,NA,NA,NA,NA
NA,NA,99,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA
NA,102,NA,NA,NA,NA,NA,NA
NA,NA,103,NA,NA,NA,NA,NA
NA,NA,NA,104,NA,NA,NA,NA
NA,NA,NA,105,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,107,NA,NA
NA,NA,NA,NA,NA,NA,108,NA
NA,NA,NA,NA,NA,NA,109,NA
NA,110,NA,NA,NA,NA,NA,NA
NA,NA,111,NA,NA,NA,NA,NA
NA,NA,NA,112,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,114
NA,NA,NA,NA,NA,NA,NA,115
NA,NA,NA,116,NA,NA,NA,NA
NA,NA,NA,117,NA,NA,NA,NA
NA,NA,NA,118,NA,NA,NA,NA
NA,NA,NA,119,NA,NA,NA,NA
NA,NA,NA,120,NA,NA,NA,NA
NA,NA,NA,121,NA,NA,NA,NA
NA,NA,122,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,124,NA,NA,NA,NA
NA,NA,NA,125,NA,NA,NA,NA
NA,NA,NA,NA,NA,126,NA,NA
NA,NA,NA,NA,NA,NA,NA,127
NA,NA,NA,NA,NA,NA,128,NA
NA,NA,NA,NA,NA,NA,129,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,131,NA
NA,NA,NA,NA,NA,NA,132,NA
NA,NA,NA,NA,NA,133,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,137,NA,NA,NA,NA
NA,NA,NA,138,NA,NA,NA,NA
NA,NA,NA,NA,139,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,141,NA,NA,NA,NA
NA,NA,NA,142,NA,NA,NA,NA
NA,NA,NA,143,NA,NA,NA,NA
NA,NA,NA,144,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,146,NA,NA,NA,NA
NA,NA,147,NA,NA,NA,NA,NA
NA,NA,NA,148,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,149
NA,NA,NA,NA,NA,NA,NA,150
NA,NA,NA,NA,NA,NA,NA,151
NA,NA,NA,NA,NA,NA,NA,152
NA,NA,NA,153,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,155,NA,NA,NA,NA
NA,NA,NA,156,NA,NA,NA,NA
NA,NA,NA,157,NA,NA,NA,NA
NA,NA,NA,158,NA,NA,NA,NA
NA,NA,NA,159,NA,NA,NA,NA
NA,NA,NA,160,NA,NA,NA,NA
NA,NA,NA,161,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,162
NA,163,NA,NA,NA,NA,NA,NA
NA,NA,164,NA,NA,NA,NA,NA
NA,NA,NA,165,NA,NA,NA,NA
NA,NA,166,NA,NA,NA,NA,NA
NA,NA,167,NA,NA,NA,NA,NA
NA,NA,168,NA,NA,NA,NA,NA
NA,NA,169,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,170,NA
NA,NA,NA,171,NA,NA,NA,NA
NA,NA,NA,172,NA,NA,NA,NA
NA,NA,NA,173,NA,NA,NA,NA
NA,NA,NA,174,NA,NA,NA,NA
NA,NA,NA,175,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,176
NA,NA,NA,177,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,179,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,181,NA
NA,NA,NA,NA,NA,NA,182,NA
NA,NA,NA,NA,NA,NA,183,NA
NA,NA,184,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,185,NA
NA,NA,NA,NA,NA,NA,186,NA
NA,NA,NA,NA,NA,NA,187,NA
NA,NA,NA,NA,NA,NA,NA,188
NA,NA,NA,NA,NA,NA,189,NA
NA,NA,NA,NA,NA,NA,190,NA
NA,NA,NA,191,NA,NA,NA,NA
NA,NA,NA,192,NA,NA,NA,NA
NA,NA,NA,193,NA,NA,NA,NA
NA,NA,NA,NA,194,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,195
NA,NA,NA,NA,NA,196,NA,NA
NA,NA,NA,NA,NA,NA,NA,197
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,199,NA,NA,NA,NA
NA,NA,200,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,201,NA
NA,NA,NA,NA,NA,NA,NA,202
NA,NA,NA,NA,NA,NA,203,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,205,NA
NA,NA,NA,206,NA,NA,NA,NA
NA,NA,NA,NA,NA,207,NA,NA
NA,208,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,209,NA
NA,NA,NA,NA,NA,NA,210,NA
NA,NA,211,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,212
